"InfHuman_values","S_v_loop","E_v_loop","I_v_loop","V_loop","Prev_loop","Pos_loop"
0.53,150910.172225607,27238.8823045911,24122.2028533659,202271.257383564,0.119256700953924,0.253921816783695
0.54,150396.971900503,27659.5755160756,24495.6376947468,202552.185111326,0.120934946622687,0.257490252115311
0.55,149884.469160635,28076.932198039,24866.1397060434,202827.541064717,0.122597451882085,0.261025064082346
0.56,149380.388209573,28492.4321519032,25235.0190264136,203107.83938789,0.124244436366735,0.264526723046419
0.57,148872.61558195,28903.8091545311,25600.268109608,203376.692846089,0.125876115651962,0.267995690663465
0.58,148372.313614853,29313.2300678416,25963.8056774942,203649.349360189,0.127492701347024,0.271432420083842
0.59,147875.94202189,29720.0592730874,26325.0683786927,203921.06967367,0.129094401185812,0.274837356147003
0.6,147381.788529547,30123.9864493423,26683.7809353476,204189.555914237,0.130681419115066,0.278210935570818
0.61,146888.25108468,30524.7008036887,27039.6676174871,204452.619505855,0.132253955380174,0.281553587135758
0.62,146401.917901976,30923.5996491844,27393.965803474,204719.483354634,0.133812206608687,0.284865731864101
0.63,145915.803252791,31319.2568057253,27745.4117415969,204980.471800113,0.135356365891541,0.28814778319429
0.64,145455.67526139,31717.2928021743,28098.9843317009,205271.952395265,0.136886622862116,0.291400147150619
0.65,144956.068065419,32103.4746107373,28442.0738938157,205501.616569972,0.138403163773319,0.294623222508508
0.66,144493.185698333,32494.5343591471,28789.5035519563,205777.223609437,0.139906171572217,0.297817400955025
0.67,144009.394349269,32877.6899165431,29129.9485145468,206017.032780358,0.141395825973298,0.300983067245699
0.68,143552.610429675,33263.8295830691,29473.0554040797,206289.495416824,0.142872303529208,0.304120599356667
0.69,143072.055084545,33641.2897328979,29808.4895797741,206521.834397217,0.144335777700103,0.307230368633251
0.7,142624.002249459,34023.250445558,30147.9289875851,206795.181682603,0.145786418920811,0.310312739934316
0.71,142149.129209733,34395.6901121585,30478.9489680898,207023.768289981,0.147224394666595,0.313368071773177
0.72,141690.819810278,34768.9790779218,30810.7383090694,207270.537197269,0.148649869516889,0.316396716454572
0.73,141236.225701263,35140.0899244923,31140.6141096311,207516.929735386,0.150063005217646,0.319399020208331
0.74,140784.988903729,35508.9699535008,31468.5293588066,207762.488216036,0.151463960741965,0.322375323319495
